N,Identifier,Otype,ICRS (J2000)RA,ICRS (J2000)DEC,Mag U,Mag B,Mag V,Mag R,Mag I,Sp type,#ref 1850 - 2022,#notes
588,SN 2007mz,SN*,22 07 51.20,-01 04 11.8,,,,,,SNIa,11,1
589,SN 2006hy,SN*,22 08 19.44,-01 11 46.8,,,,,,SNIa,17,1
590,SN 2006no,SN*,22 08 21.44,-01 08 55.7,,,,,,SNIa,10,1
591,SN 2007kp,SN*,22 09 29.59,+00 44 16.4,,,,,,SNIa,8,1
592,SN 2006fm,SN*,22 10 10.320,+00 30 14.12,,,,,,SNIa,21,1
593,SN 2006fl,SN*,22 11 27.600,+00 45 20.16,,,,,,SNIa,22,1
594,BD+17 4708,SB*,22 11 31.3756832854,+18 05 34.177983548,9.73,9.91,9.46,9.03,8.7,sdF8,554,0
595,SN 2007mo,SN*,22 11 33.85,+00 45 53.2,,,,,,SNIa,9,1
596,SN 2007pf,SN*,22 11 43.200,+00 34 45.68,,,,,,SNIa,14,1
597,SN 2005hv,SN*,22 12 43.920,-00 02 06.14,,21.3,,,,SNIa,23,1
598,SN 2005gs,SN*,22 13 10.25,+01 03 02.1,,22.1,,,,SNIa,16,1
599,SNLS 05D4ev,SN*,22 13 30.424,-17 42 02.83,,,,,20.86,SNIa,8,0
600,SNLS 05D4cn,SN*,22 13 31.454,-17 17 19.84,,,,,21.42,SNIa,9,0
601,SNLS 03D4cy,SN*,22 13 40.415,-17 40 53.91,,,,,22.38,SNIa,17,1
602,SN 2007rp,SN*,22 13 43.680,+00 23 46.69,,,,,,SNIa,12,1
603,SNLS 05D4ag,SN*,22 13 47.425,-18 09 54.95,,,,,24.3,SNIa,9,0
604,SN 2007oa,SN*,22 13 51.35,-00 55 13.0,,,,,,SNIa,5,1
605,SNLS 04D4jy,SN*,22 13 51.577,-17 24 17.62,,,,,,SNIa,9,1
606,SNLS 05D4ef,SN*,22 13 59.305,-18 12 44.44,,,,,21.38,SNIa,8,0
607,SNLS 05D4cq,SN*,22 14 09.650,-18 13 36.17,,,,,21.15,SNIa,9,0
608,SNLS 03D4di,SN*,22 14 10.239,-17 30 23.82,,,,,22.23,SNIa,13,1
609,SNLS 05D4av,SN*,22 14 10.544,-17 54 43.00,,,,,21.38,SNIa,9,0
610,SNLS 04D4jr,SN*,22 14 14.320,-17 21 00.78,,,,,24.68,SNIa,12,1
611,SNLS 06D4dh,SN*,22 14 19.693,-17 35 06.03,,,,,20.8,SNIa,8,0
612,SNLS 04D4ic,SN*,22 14 21.854,-17 56 36.55,,,,,23.87,SNIa,11,1
613,SNLS 03D4gf,SN*,22 14 22.932,-17 44 02.52,,,,,24.54,SNIa,15,2
614,SNLS 03D4at,SN*,22 14 24.040,-17 46 36.22,,,,,23.28,SNIa,18,1
615,SNLS 05D4dt,SN*,22 14 25.847,-17 40 16.00,,,,,19.05,SNIa,9,0
616,SNLS 03D4cx,SN*,22 14 33.754,-17 35 15.04,,,,,21.82,SNIa,16,1
617,SN 2007cq,SN*,22 14 40.41,+05 04 48.6,,,15.8,,,SNIa,55,1
618,SNLS 03D4gl,SN*,22 14 44.174,-17 31 44.09,,,,,22.73,SNIa,17,2
619,SN 2003ha,SN*,22 14 45.830,-17 44 22.76,,,,,18.16,SNIa,23,1
